First Name,Email,Active,Store
Jared,jared.ely@sakilacustomer.org,True,1
Mary,mary.smith@sakilacustomer.org,True,1
Patricia,patricia.johnson@sakilacustomer.org,True,1
Linda,linda.williams@sakilacustomer.org,True,1
Elizabeth,elizabeth.brown@sakilacustomer.org,True,1
Maria,maria.miller@sakilacustomer.org,True,1
Dorothy,dorothy.taylor@sakilacustomer.org,True,1
Nancy,nancy.thomas@sakilacustomer.org,True,1
Helen,helen.harris@sakilacustomer.org,True,1
Donna,donna.thompson@sakilacustomer.org,True,1
Ruth,ruth.martinez@sakilacustomer.org,True,1
